Customer_Id,Age,Income,Credit_Score,Region,Gender,Loan_Amount,Loan_Tenure,Default,Repayment_time,Loan_purpose,Gold_price_fluctuation,Gold_purity,Branch_location,Processing_time,Responded_to_promotion,Branch_size,Turnaround_time
1,58,78182,351,Semi-urban,Female,259581,8,0,9,Medical,-1.09,23.25,Semi_urban,26,0,4,46
2,48,153873,411,Urban,Male,226689,7,0,7,Education,-0.17,18.29,Rural,19,1,3,13
3,34,190821,594,Urban,Female,94217,11,1,1,Medical,6.83,20.13,Semi_urban,22,0,4,21
4,62,75654,488,Urban,Female,414806,7,0,9,Medical,6.38,23.16,Semi_urban,20,1,8,45
5,27,75381,364,Urban,Male,49391,7,0,6,Education,-9.95,21.73,Rural,10,1,3,43
6,40,78601,764,Urban,Female,434114,5,0,9,Business,-1.72,22.63,Urban,16,0,5,21
7,58,166154,557,Urban,Male,85991,8,0,2,Education,3.12,19.94,Rural,14,0,9,30
8,38,165720,630,Rural,Female,23238,4,0,11,Business,7.05,20.22,Rural,14,0,8,27
9,42,20364,800,Semi-urban,Male,452946,5,0,7,Business,-9.02,23.33,Urban,10,0,6,6
10,30,185640,509,Rural,Male,174104,3,0,8,Education,2.56,22.5,Rural,11,0,6,30
11,30,27436,388,Urban,Female,23044,3,1,8,Personal,6.84,20.31,Urban,23,0,3,32
12,43,106713,327,Semi-urban,Female,258844,2,0,5,Business,-4.9,19.29,Semi_urban,28,1,9,8
13,55,177826,537,Semi-urban,Male,490909,5,1,7,Personal,-5.89,18.64,Rural,27,0,4,40
14,59,80194,635,Semi-urban,Male,372996,2,0,7,Medical,-0.64,23.17,Urban,23,1,4,1
15,43,44544,362,Rural,Male,151784,10,0,3,Medical,9.25,22.19,Rural,16,0,7,20
16,22,83295,799,Semi-urban,Male,403195,4,0,11,Medical,3.86,21.64,Urban,15,0,7,41
17,41,163710,840,Urban,Female,210084,10,0,11,Business,-1.51,22.66,Urban,25,0,3,14
18,21,89409,768,Urban,Female,104022,1,0,2,Business,-9.58,23.49,Urban,10,1,4,44
19,43,146839,350,Rural,Female,328476,2,0,5,Medical,1.13,22.57,Semi_urban,22,1,9,5
20,63,133759,411,Rural,Female,283785,11,0,4,Education,-3.02,20.52,Rural,12,1,5,21
21,49,37157,600,Urban,Female,166783,1,0,8,Education,-6.29,19.06,Urban,22,0,9,46
22,57,196637,389,Rural,Male,124593,2,1,5,Medical,0.0,22.28,Semi_urban,12,0,6,14
23,21,85888,528,Semi-urban,Male,379835,4,0,9,Personal,-3.17,19.48,Semi_urban,24,1,8,20
24,40,84947,449,Rural,Female,220589,1,0,7,Medical,-9.23,22.7,Urban,27,0,4,5
25,52,90880,437,Semi-urban,Female,310026,6,0,11,Business,4.51,20.03,Semi_urban,10,0,7,9
26,31,24507,434,Semi-urban,Male,331296,1,1,1,Personal,4.65,18.94,Rural,12,1,3,19
27,41,123134,756,Semi-urban,Female,45780,3,0,2,Education,2.38,19.53,Rural,29,0,4,30
28,63,63988,793,Semi-urban,Female,325727,2,0,8,Education,6.82,19.6,Rural,15,0,4,33
29,44,118421,826,Semi-urban,Male,315717,2,0,10,Personal,-5.94,20.27,Urban,19,0,3,29
30,46,167937,632,Urban,Female,32870,4,0,8,Personal,-4.28,19.54,Urban,24,0,5,34
31,61,122591,661,Urban,Female,93718,9,0,2,Business,-0.83,19.35,Urban,29,1,6,44
32,47,149614,473,Urban,Female,171853,3,1,7,Medical,-8.8,20.35,Rural,17,1,5,10
33,35,47213,512,Semi-urban,Female,452592,6,0,8,Personal,7.67,23.21,Rural,26,1,5,21
34,34,77450,642,Rural,Male,419217,11,0,4,Personal,-0.19,18.42,Semi_urban,13,1,7,19
35,63,155549,360,Rural,Female,124752,10,0,3,Education,-3.51,19.78,Urban,11,0,6,20
36,22,82222,360,Semi-urban,Female,346745,3,0,10,Education,-0.44,21.37,Urban,21,0,5,2
37,56,157605,823,Rural,Male,231280,10,0,9,Medical,-3.5,23.25,Semi_urban,15,1,4,36
38,26,174468,515,Semi-urban,Male,136959,5,0,2,Personal,-4.27,19.7,Semi_urban,19,1,4,21
39,40,32755,722,Rural,Male,114950,9,0,3,Education,-1.04,20.09,Urban,12,1,7,38
